Loading raw signal from data/raw/Ninapro_DB1/s1/S1_A1_E2.mat...
Preprocessing signal (Filtering & Standardizing)...
Extracting 200ms sliding windows...
Extracting dense windows (size=20, stride=1)...
Extracting FFT Frequencies...
Extracting FFT magnitudes...
Loading Trained Models (Dictionary, Scaler, SVM)...
Extracting Sparse Dictionary Codes...
Classifying movements...

[EVALUATION RESULTS]
Overall Accuracy:       75.82%
Active Blocks Accuracy: 51.99%

=====================================================================================
 sEMG TRUE vs PREDICTED TIMELINE LOG
=====================================================================================
[000.00s - 004.13s] ✅ TRUE: Rest                         | PRED: Rest
[846.83s - 852.09s] ✅ TRUE: Rest                         | PRED: Rest
[852.09s - 852.30s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Rest
[852.30s - 852.56s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: middle finger)
[852.56s - 853.64s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[853.71s - 854.04s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[854.04s - 854.36s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist pronation (axis: middle finger)
[854.51s - 859.85s] ✅ TRUE: Rest                         | PRED: Rest
[859.93s - 860.39s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[860.69s - 862.01s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[862.16s - 862.63s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[862.98s - 868.61s] ✅ TRUE: Rest                         | PRED: Rest
[868.73s - 869.26s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[869.26s - 869.75s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[869.85s - 870.88s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[870.88s - 871.13s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist pronation (axis: middle finger)
[871.13s - 871.42s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[871.42s - 876.79s] ✅ TRUE: Rest                         | PRED: Rest
[876.79s - 877.08s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Rest
[877.17s - 877.64s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[877.65s - 878.84s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[879.03s - 879.53s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[879.86s - 884.18s] ✅ TRUE: Rest                         | PRED: Rest
[884.18s - 884.76s] ❌ TRUE: Rest                         | PRED: Pointing index
[884.76s - 885.45s] ✅ TRUE: Rest                         | PRED: Rest
[885.45s - 885.66s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[885.84s - 887.88s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[888.00s - 893.22s] ✅ TRUE: Rest                         | PRED: Rest
[893.22s - 893.50s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Middle extension
[893.50s - 894.24s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[894.24s - 894.67s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: middle finger)
[894.67s - 895.66s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[895.66s - 895.94s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: middle finger)
[896.15s - 896.56s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb up
[896.64s - 901.88s] ✅ TRUE: Rest                         | PRED: Rest
[901.96s - 902.69s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[902.69s - 904.05s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[904.05s - 904.73s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: middle finger)
[905.01s - 905.60s] ✅ TRUE: Rest                         | PRED: Rest
[905.60s - 905.89s] ❌ TRUE: Rest                         | PRED: Pointing index
[905.89s - 909.85s] ✅ TRUE: Rest                         | PRED: Rest
[910.08s - 910.28s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Adduction of extended fingers
[910.28s - 911.14s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb extension
[911.14s - 912.93s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[912.94s - 913.28s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[913.28s - 914.00s] ✅ TRUE: Rest                         | PRED: Rest
[914.00s - 914.58s] ❌ TRUE: Rest                         | PRED: Pointing index
[914.87s - 918.00s] ✅ TRUE: Rest                         | PRED: Rest
[918.16s - 918.60s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[918.91s - 920.80s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[920.85s - 921.09s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[921.28s - 921.54s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Thumb up
[921.54s - 921.74s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Middle flexion
[921.77s - 926.49s] ✅ TRUE: Rest                         | PRED: Rest
[926.65s - 927.10s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Middle extension
[927.10s - 927.70s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Index flexion
[927.88s - 928.18s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Ring extension
[928.18s - 928.67s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[928.67s - 929.23s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[929.23s - 929.49s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[929.53s - 929.87s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Pointing index
[930.05s - 934.74s] ✅ TRUE: Rest                         | PRED: Rest
[934.84s - 936.83s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[936.91s - 937.59s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[937.69s - 938.19s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Index flexion
[938.19s - 938.55s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Thumb extension
[938.55s - 938.92s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Rest
[938.92s - 943.08s] ✅ TRUE: Rest                         | PRED: Rest
[943.08s - 943.31s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[943.31s - 944.16s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[944.45s - 945.05s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[945.09s - 945.90s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[945.90s - 946.15s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Index extension
[946.15s - 946.58s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Index flexion
[946.76s - 946.99s] ❌ TRUE: Rest                         | PRED: Thumb extension
[946.99s - 951.73s] ✅ TRUE: Rest                         | PRED: Rest
[951.83s - 952.65s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[952.84s - 953.43s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[953.43s - 953.82s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Parallel extension grasp
[953.82s - 955.19s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[955.19s - 955.52s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Ring flexion
[955.67s - 955.97s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[955.97s - 959.69s] ✅ TRUE: Rest                         | PRED: Rest
[959.99s - 960.45s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Middle extension
[960.45s - 960.78s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[960.78s - 962.52s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[962.52s - 963.21s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[963.21s - 963.95s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Index flexion
[963.95s - 964.46s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Thumb abduction
[964.46s - 964.68s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Ring flexion
[964.74s - 968.45s] ✅ TRUE: Rest                         | PRED: Rest
[968.63s - 968.84s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[969.03s - 969.66s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[969.66s - 969.95s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[970.14s - 970.43s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Parallel extension grasp
[970.43s - 971.31s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[971.31s - 971.61s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Thumb up
[971.61s - 972.10s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[972.42s - 976.79s] ✅ TRUE: Rest                         | PRED: Rest
[976.86s - 977.06s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[977.06s - 977.97s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[977.97s - 979.51s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[979.51s - 980.32s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[980.35s - 980.57s] ❌ TRUE: Rest                         | PRED: Thumb up
[980.75s - 981.55s] ✅ TRUE: Rest                         | PRED: Rest
[981.73s - 985.32s] ✅ TRUE: Rest                         | PRED: Rest
[985.50s - 986.95s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[987.11s - 987.37s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Open a bottle with a tripod grasp
[987.37s - 987.64s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Parallel extension grasp
[987.64s - 987.88s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[987.88s - 988.16s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[988.32s - 988.55s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[988.65s - 989.11s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[989.11s - 994.09s] ✅ TRUE: Rest                         | PRED: Rest
[994.68s - 995.38s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[995.38s - 995.99s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[995.99s - 996.25s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[996.65s - 996.93s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Flexion of ring and little finger, extension of others
[997.24s - 1001.87s] ✅ TRUE: Rest                         | PRED: Rest
[1001.87s - 1002.12s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[1002.12s - 1003.42s] ✅ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist pronation (axis: little finger)
[1003.42s - 1003.91s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[1004.34s - 1004.74s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Tip pinch grasp
[1004.74s - 1005.18s] ❌ TRUE: Wrist pronation (axis: little finger) | PRED: Wrist flexion
[1005.59s - 1010.53s] ✅ TRUE: Rest                         | PRED: Rest
[1010.53s - 1010.79s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[1010.79s - 1011.21s] ❌ TRUE: Wrist flexion                | PRED: Wrist pronation (axis: little finger)
[1011.29s - 1012.50s] ❌ TRUE: Wrist flexion                | PRED: Wrist pronation (axis: little finger)
[1012.50s - 1013.10s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1013.10s - 1013.38s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1013.38s - 1013.68s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1013.68s - 1014.19s] ❌ TRUE: Wrist flexion                | PRED: Index flexion
[1014.19s - 1014.76s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1014.76s - 1015.08s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1015.08s - 1015.46s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1015.89s - 1016.13s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1016.13s - 1018.94s] ✅ TRUE: Rest                         | PRED: Rest
[1019.15s - 1019.74s] ❌ TRUE: Wrist flexion                | PRED: Middle extension
[1019.74s - 1021.90s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1021.90s - 1022.27s] ❌ TRUE: Rest                         | PRED: Wrist flexion
[1022.27s - 1022.61s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1022.61s - 1023.15s] ✅ TRUE: Rest                         | PRED: Rest
[1023.15s - 1023.51s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1023.51s - 1027.93s] ✅ TRUE: Rest                         | PRED: Rest
[1028.31s - 1028.53s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1028.53s - 1030.40s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1030.40s - 1031.01s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1031.14s - 1031.56s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1031.56s - 1033.39s] ✅ TRUE: Rest                         | PRED: Rest
[1033.39s - 1033.89s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[1033.89s - 1034.31s] ❌ TRUE: Rest                         | PRED: Parallel extension grasp
[1034.67s - 1035.29s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[1035.47s - 1036.12s] ❌ TRUE: Wrist flexion                | PRED: Parallel extension grasp
[1036.48s - 1038.77s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1038.77s - 1039.00s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1039.19s - 1040.06s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1040.06s - 1044.52s] ✅ TRUE: Rest                         | PRED: Rest
[1044.58s - 1044.94s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1044.94s - 1045.36s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1045.36s - 1047.07s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1047.07s - 1047.38s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1047.45s - 1047.85s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1047.85s - 1048.49s] ✅ TRUE: Rest                         | PRED: Rest
[1048.67s - 1052.97s] ✅ TRUE: Rest                         | PRED: Rest
[1053.08s - 1053.54s] ❌ TRUE: Wrist flexion                | PRED: Wrist pronation (axis: little finger)
[1053.54s - 1055.57s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1055.57s - 1055.90s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1056.42s - 1060.92s] ✅ TRUE: Rest                         | PRED: Rest
[1061.02s - 1062.17s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1062.17s - 1062.49s] ❌ TRUE: Wrist flexion                | PRED: Lateral grasp
[1062.49s - 1064.09s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1064.09s - 1064.31s] ❌ TRUE: Rest                         | PRED: Wrist flexion
[1064.45s - 1069.23s] ✅ TRUE: Rest                         | PRED: Rest
[1069.54s - 1072.26s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1072.26s - 1072.57s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1072.57s - 1073.01s] ❌ TRUE: Rest                         | PRED: Ring flexion
[1073.01s - 1077.95s] ✅ TRUE: Rest                         | PRED: Rest
[1078.12s - 1078.51s] ❌ TRUE: Wrist flexion                | PRED: Index flexion
[1078.51s - 1080.57s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1080.57s - 1081.01s] ❌ TRUE: Wrist flexion                | PRED: Thumb abduction
[1081.04s - 1083.95s] ✅ TRUE: Rest                         | PRED: Rest
[1084.10s - 1085.07s] ❌ TRUE: Rest                         | PRED: Pointing index
[1085.07s - 1087.39s] ✅ TRUE: Rest                         | PRED: Rest
[1087.39s - 1087.61s] ❌ TRUE: Rest                         | PRED: Tip pinch grasp
[1087.61s - 1088.02s] ❌ TRUE: Rest                         | PRED: Wrist flexion
[1088.02s - 1089.60s] ✅ TRUE: Wrist flexion                | PRED: Wrist flexion
[1089.68s - 1089.89s] ❌ TRUE: Wrist flexion                | PRED: Ring flexion
[1090.15s - 1095.03s] ✅ TRUE: Rest                         | PRED: Rest
[1095.22s - 1096.01s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1096.01s - 1097.26s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1097.58s - 1102.84s] ✅ TRUE: Rest                         | PRED: Rest
[1102.87s - 1103.10s] ❌ TRUE: Wrist extension              | PRED: Thumb abduction
[1103.10s - 1103.33s] ❌ TRUE: Wrist extension              | PRED: Ring flexion
[1103.49s - 1105.01s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1105.01s - 1105.34s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1105.42s - 1105.75s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1105.89s - 1111.77s] ✅ TRUE: Rest                         | PRED: Rest
[1111.77s - 1112.14s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1112.16s - 1112.40s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1112.67s - 1113.76s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1113.85s - 1114.26s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1114.33s - 1114.68s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1114.68s - 1119.86s] ✅ TRUE: Rest                         | PRED: Rest
[1119.94s - 1120.23s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1120.47s - 1120.95s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1120.95s - 1121.41s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1121.41s - 1121.90s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1121.90s - 1122.10s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1122.22s - 1122.52s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1122.52s - 1128.06s] ✅ TRUE: Rest                         | PRED: Rest
[1128.06s - 1128.37s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1128.38s - 1129.17s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1129.35s - 1130.19s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1130.35s - 1130.75s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1130.75s - 1136.63s] ✅ TRUE: Rest                         | PRED: Rest
[1136.72s - 1137.09s] ❌ TRUE: Wrist extension              | PRED: Thumb abduction
[1137.09s - 1137.80s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1138.20s - 1138.74s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1138.74s - 1139.09s] ❌ TRUE: Rest                         | PRED: Wrist extension
[1139.22s - 1145.30s] ✅ TRUE: Rest                         | PRED: Rest
[1145.30s - 1145.58s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1145.68s - 1146.20s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1146.20s - 1146.44s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1146.44s - 1147.15s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1147.45s - 1147.76s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1147.76s - 1153.14s] ✅ TRUE: Rest                         | PRED: Rest
[1153.45s - 1153.72s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1153.72s - 1154.22s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1154.22s - 1155.42s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1155.59s - 1155.80s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1155.85s - 1156.22s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1156.22s - 1162.15s] ✅ TRUE: Rest                         | PRED: Rest
[1162.44s - 1162.74s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1162.74s - 1162.97s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1162.98s - 1163.62s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1163.66s - 1164.10s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1164.22s - 1164.57s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[1164.57s - 1166.86s] ✅ TRUE: Rest                         | PRED: Rest
[1166.86s - 1167.39s] ❌ TRUE: Rest                         | PRED: Pointing index
[1167.39s - 1170.41s] ✅ TRUE: Rest                         | PRED: Rest
[1170.42s - 1170.70s] ❌ TRUE: Rest                         | PRED: Wrist extension
[1170.71s - 1171.03s] ❌ TRUE: Wrist extension              | PRED: Ring flexion
[1171.03s - 1171.56s] ❌ TRUE: Wrist extension              | PRED: Middle extension
[1171.56s - 1171.90s] ❌ TRUE: Wrist extension              | PRED: Wrist radial deviation
[1171.90s - 1172.60s] ✅ TRUE: Wrist extension              | PRED: Wrist extension
[1172.74s - 1173.31s] ❌ TRUE: Rest                         | PRED: Pointing index
[1173.31s - 1178.92s] ✅ TRUE: Rest                         | PRED: Rest
[1179.07s - 1179.27s] ❌ TRUE: Rest                         | PRED: Wrist extension
[1179.27s - 1179.55s] ❌ TRUE: Wrist radial deviation       | PRED: Wrist extension
[1179.55s - 1181.76s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1181.76s - 1182.14s] ❌ TRUE: Wrist radial deviation       | PRED: Ring flexion
[1182.24s - 1187.52s] ✅ TRUE: Rest                         | PRED: Rest
[1187.52s - 1187.75s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1187.75s - 1188.18s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1188.32s - 1188.59s] ❌ TRUE: Wrist radial deviation       | PRED: Fixed hook grasp
[1188.59s - 1189.69s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1189.69s - 1189.90s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1189.90s - 1195.42s] ✅ TRUE: Rest                         | PRED: Rest
[1195.61s - 1196.14s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1196.30s - 1197.02s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1197.02s - 1197.23s] ❌ TRUE: Wrist radial deviation       | PRED: Cut something
[1197.23s - 1197.97s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1197.97s - 1198.22s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1198.22s - 1198.47s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1198.47s - 1203.54s] ✅ TRUE: Rest                         | PRED: Rest
[1203.64s - 1206.54s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1206.71s - 1212.34s] ✅ TRUE: Rest                         | PRED: Rest
[1212.67s - 1215.29s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1215.40s - 1220.62s] ✅ TRUE: Rest                         | PRED: Rest
[1220.80s - 1221.26s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1221.50s - 1221.72s] ❌ TRUE: Wrist radial deviation       | PRED: Cut something
[1221.72s - 1222.28s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1222.28s - 1222.80s] ❌ TRUE: Wrist radial deviation       | PRED: Cut something
[1222.80s - 1223.38s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1223.38s - 1223.80s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1223.80s - 1229.04s] ✅ TRUE: Rest                         | PRED: Rest
[1229.27s - 1229.48s] ❌ TRUE: Wrist radial deviation       | PRED: Three finger sphere grasp
[1229.63s - 1231.53s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1231.53s - 1231.86s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1231.86s - 1238.06s] ✅ TRUE: Rest                         | PRED: Rest
[1238.17s - 1238.42s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1238.42s - 1238.76s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1239.04s - 1240.32s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1240.32s - 1240.70s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1240.70s - 1245.75s] ✅ TRUE: Rest                         | PRED: Rest
[1245.85s - 1248.76s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1248.76s - 1249.02s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1249.11s - 1254.24s] ✅ TRUE: Rest                         | PRED: Rest
[1254.35s - 1254.66s] ❌ TRUE: Wrist radial deviation       | PRED: Middle extension
[1254.66s - 1257.49s] ✅ TRUE: Wrist radial deviation       | PRED: Wrist radial deviation
[1257.49s - 1257.74s] ❌ TRUE: Wrist radial deviation       | PRED: Thumb abduction
[1257.99s - 1262.97s] ✅ TRUE: Rest                         | PRED: Rest
[1263.14s - 1264.57s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1264.60s - 1265.26s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1265.45s - 1265.90s] ✅ TRUE: Wrist ulnar deviation        | PRED: Wrist ulnar deviation
[1265.90s - 1266.19s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb adduction
[1266.45s - 1266.86s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[1266.86s - 1267.10s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1267.10s - 1270.90s] ✅ TRUE: Rest                         | PRED: Rest
[1271.21s - 1271.64s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: middle finger)
[1271.66s - 1272.20s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1272.45s - 1272.75s] ❌ TRUE: Wrist ulnar deviation        | PRED: Ring grasp
[1272.75s - 1273.51s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1273.53s - 1274.16s] ✅ TRUE: Wrist ulnar deviation        | PRED: Wrist ulnar deviation
[1274.24s - 1274.70s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb flexion
[1274.77s - 1275.19s] ❌ TRUE: Wrist ulnar deviation        | PRED: Pointing index
